Gene Symbol	Locus ID	Cytoband	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F
BCAR4	400500	16p13.13	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
RSL1D1	26156	16p13.13	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
GSPT1	2935	16p13.13	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
TNFRSF17	608	16p13.13	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
SNX29	92017	16p13.13	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
CPPED1	55313	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
MIR4718	100616195	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
ERCC4	2072	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
SHISA9	729993	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
MKL2	57496	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
MIR193B	574455	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
hsa-mir-193b	-694	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
MIR365A	100126355	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
hsa-mir-365-1	-694	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
PARN	5073	16p13.12	0.010	0.268	-0.003	0.000	-0.003	-0.002	0.126	0.000	0.001	0.005	0.088	0.538	-0.007	-0.014	0.009	0.373	0.473
BFAR	51283	16p13.12	0.001	0.268	-0.002	0.000	-0.003	-0.004	0.117	0.000	-0.006	0.005	0.095	0.538	-0.007	-0.014	0.009	0.400	0.472
ABCC1	4363	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
ABCC6P1	653190	16p12.3	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
ABCC6P2	730013	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
ABCC6	368	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
ARL6IP1	23204	16p12.3	-0.073	0.268	0.009	0.000	-0.003	-0.021	0.048	0.000	-0.057	0.005	0.148	0.538	-0.007	-0.014	0.009	0.604	0.464
C16orf45	89927	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
FOPNL	123811	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
KIAA0430	9665	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MIR3179-1	100422960	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MIR3179-2	100422886	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MIR3179-3	100423006	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MIR3180-1	100422870	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MIR3180-2	100422956	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MIR3180-3	100422836	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MIR3180-4	100500852	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MIR484	619553	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MPV17L	255027	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
MYH11	4629	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
NDE1	54820	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
NOMO1	23420	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
NOMO2	283820	16p12.3	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
NOMO3	408050	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
NPIP	9284	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
NTAN1	123803	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
PDXDC1	23042	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
PKD1P1	339044	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
PLA2G10	8399	16p13.12	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
RPS15A	6210	16p12.3	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
RRN3	54700	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
XYLT1	64131	16p12.3	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
hsa-mir-1972-1	-700	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
hsa-mir-3179-1	-699	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
hsa-mir-3179-2	-710	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
hsa-mir-3179-3	-726	16p12.3	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
hsa-mir-3180-1	-699	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
hsa-mir-3180-2	-710	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
hsa-mir-3180-3	-726	16p12.3	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
hsa-mir-484	-705	16p13.11	-0.037	0.268	0.004	0.000	-0.003	-0.013	0.081	0.000	-0.032	0.005	0.122	0.538	-0.007	-0.014	0.009	0.505	0.468
SMG1	23049	16p12.3	-0.085	0.268	0.011	0.000	-0.003	-0.076	0.036	0.000	-0.065	0.005	0.156	0.538	-0.007	-0.014	0.009	0.637	0.463
TMC7	79905	16p12.3	-0.085	0.268	0.011	0.000	-0.003	-0.139	0.036	0.000	-0.065	0.005	0.156	0.538	-0.007	-0.014	0.009	0.637	0.463
COQ7	10229	16p12.3	-0.085	0.268	0.011	0.000	-0.003	-0.139	0.036	0.000	-0.065	0.005	0.156	0.538	-0.007	-0.014	0.009	0.637	0.463
ITPRIPL2	162073	16p12.3	-0.085	0.268	0.011	0.000	-0.003	-0.139	0.036	0.000	-0.065	0.005	0.156	0.538	-0.007	-0.014	0.009	0.637	0.463
SYT17	51760	16p12.3	-0.025	0.268	0.011	0.000	-0.003	-0.139	0.036	0.000	-0.065	0.005	0.124	0.538	-0.007	-0.014	0.009	0.637	0.463
TMC5	79838	16p12.3	0.042	0.268	0.011	0.000	-0.003	-0.139	0.036	0.000	-0.065	0.005	-0.379	0.538	-0.007	-0.014	0.009	0.637	0.463
GDE1	51573	16p12.3	0.042	0.268	0.011	0.000	-0.003	-0.139	0.036	0.000	-0.065	0.005	-0.392	0.538	-0.007	-0.014	0.009	0.611	0.463
CCP110	9738	16p12.3	0.042	0.268	0.011	0.000	-0.003	-0.139	0.036	0.000	-0.065	0.005	0.025	0.538	-0.007	-0.014	0.009	0.340	0.463
C16orf62	57020	16p12.3	0.042	0.268	0.011	0.000	-0.003	-0.102	0.036	0.000	-0.065	0.005	0.101	0.538	-0.007	-0.014	0.009	0.328	0.463
C16orf88	400506	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.101	0.538	-0.007	-0.014	0.009	0.328	0.463
IQCK	124152	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.101	0.538	-0.007	-0.014	0.009	0.328	0.463
GPRC5B	51704	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.101	0.538	-0.007	-0.014	0.009	0.328	0.463
GPR139	124274	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.101	0.538	-0.007	-0.014	0.009	0.328	0.463
GP2	2813	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.101	0.538	-0.007	-0.014	0.009	0.328	0.463
UMOD	7369	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.101	0.538	-0.045	-0.014	0.009	0.328	0.463
PDILT	204474	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.254	0.538	-0.073	-0.014	0.009	0.328	0.463
ACSM5	54988	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.980	0.538	-0.073	-0.014	0.009	0.328	0.463
ACSM2A	123876	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.980	0.538	-0.073	-0.014	0.009	0.328	0.463
ACSM2B	348158	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.980	0.538	-0.073	-0.014	0.009	0.328	0.463
ACSM1	116285	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.205	0.538	-0.073	-0.014	0.009	0.328	0.463
THUMPD1	55623	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.065	0.005	0.179	0.538	-0.073	-0.014	0.009	0.328	0.463
ACSM3	6296	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.057	0.005	0.222	0.538	-0.073	-0.014	0.009	0.328	0.463
ERI2	112479	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	-0.011	0.005	0.222	0.538	-0.073	-0.014	0.009	0.328	0.463
LOC81691	81691	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	0.005	0.222	0.538	-0.073	-0.014	0.009	0.328	0.463
DCUN1D3	123879	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	0.005	0.222	0.538	-0.073	-0.014	0.009	0.328	0.463
LYRM1	57149	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	0.005	0.153	0.538	-0.073	-0.014	0.009	0.328	0.463
DNAH3	55567	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	0.005	-0.185	0.538	-0.073	-0.014	0.009	0.328	0.463
TMEM159	57146	16p12.3	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.021	-0.189	0.538	-0.073	-0.014	0.009	0.328	0.463
ZP2	7783	16p12.2	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.307	-0.189	0.538	-0.073	-0.014	0.009	0.328	0.463
ANKS4B	257629	16p12.2	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.826	0.538	-0.073	-0.014	0.009	0.328	0.463
CRYM	1428	16p12.2	0.042	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.921	0.538	-0.073	-0.014	0.009	0.328	0.463
CRYM-AS1	400508	16p12.2	0.029	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.044	-0.014	0.009	0.328	0.463
C16orf52	730094	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
CDR2	1039	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
EEF2K	29904	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
HS3ST2	9956	16p12.2	0.013	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.107	0.045	0.538	-0.007	-0.014	0.009	0.568	0.463
IGSF6	10261	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
LOC100132247	100132247	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
LOC100190986	100190986	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
LOC100271836	100271836	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
LOC641298	641298	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
LOC653786	653786	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
METTL9	51108	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
MIR548AA2	100500895	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
MIR548D2	693131	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
NPIPL3	23117	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
OTOA	146183	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
PDZD9	255762	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
POLR3E	55718	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
RRN3P1	730092	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
RRN3P3	100131998	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
SLC7A5P2	387254	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
SNX29P1	100652781	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
UQCRC2	7385	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
VWA3A	146177	16p12.2	0.023	0.268	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	-0.316	0.045	0.538	-0.029	-0.014	0.009	0.328	0.463
USP31	57478	16p12.2	0.003	1.112	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	0.473	0.485	0.538	0.015	0.224	0.009	1.072	0.463
SCNN1G	6340	16p12.2	0.003	1.145	0.011	0.000	-0.003	0.006	0.036	0.000	0.059	0.100	-0.163	0.538	0.015	0.095	0.009	0.477	0.641
SCNN1B	6338	16p12.2	0.003	0.397	0.011	0.000	-0.003	0.006	0.040	0.000	0.054	0.081	-0.216	0.538	0.015	0.095	0.009	0.477	0.756
COG7	91949	16p12.2	0.003	0.487	0.011	0.000	-0.003	0.006	0.046	0.000	-0.042	0.081	-0.130	0.538	0.015	0.095	0.009	0.477	0.511
GGA2	23062	16p12.2	0.003	0.673	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	0.138	0.538	0.015	0.095	0.009	0.477	0.503
EARS2	124454	16p12.2	0.003	0.303	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	0.138	0.538	0.015	0.095	0.009	0.477	0.503
UBFD1	56061	16p12.2	0.003	0.282	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	0.002	0.538	0.015	0.095	0.009	0.477	0.503
NDUFAB1	4706	16p12.2	0.003	0.282	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.235	0.538	0.015	0.095	0.009	0.477	0.503
PALB2	79728	16p12.2	0.003	0.282	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.235	0.538	0.015	0.095	0.009	0.641	0.503
DCTN5	84516	16p12.2	0.003	0.282	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.235	0.538	0.015	0.109	0.009	0.770	0.503
PLK1	5347	16p12.2	0.003	0.282	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.235	0.538	0.015	0.290	0.009	0.770	0.503
ERN2	10595	16p12.2	0.003	0.679	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.235	0.538	0.015	0.299	0.009	0.770	0.629
CHP2	63928	16p12.2	0.003	0.422	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.235	0.538	0.015	0.070	0.009	0.525	0.681
PRKCB	5579	16p12.2	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.235	0.538	0.015	-0.044	0.009	0.403	0.438
CACNG3	10368	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.235	0.538	0.015	-0.044	0.009	0.403	0.438
RBBP6	5930	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	0.081	-0.043	0.538	0.015	-0.044	0.009	0.403	0.438
TNRC6A	27327	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.096	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
SLC5A11	115584	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
ARHGAP17	55114	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
LCMT1	51451	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
LOC554206	554206	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
LOC100506655	100506655	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
AQP8	343	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
ZKSCAN2	342357	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
HS3ST4	9951	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
hsa-mir-548w	-783	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
C16orf82	162083	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
JMJD5	79831	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.045	-0.185	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
NSMCE1	197370	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	-0.033	-0.136	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
FLJ21408	400512	16p12.1	0.003	0.159	0.011	0.000	-0.003	0.006	0.046	0.000	0.010	0.035	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
IL4R	3566	16p12.1	0.003	0.596	0.011	0.000	-0.003	0.006	0.046	0.000	0.058	0.035	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
IL21R	50615	16p12.1	0.003	0.630	0.011	0.000	-0.003	0.006	0.046	0.000	0.065	0.035	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
LOC283888	283888	16p12.1	0.003	0.533	0.011	0.000	-0.003	0.006	0.046	0.000	0.065	0.035	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
GTF3C1	2975	16p12.1	0.003	0.164	0.011	0.000	-0.003	0.006	0.046	0.000	0.065	0.035	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
KIAA0556	23247	16p12.1	0.003	0.157	0.011	0.000	-0.003	0.006	0.046	0.000	0.065	0.035	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
GSG1L	146395	16p12.1	0.003	0.157	0.011	0.000	-0.003	0.006	0.046	0.000	0.065	0.035	0.019	0.538	0.015	-0.044	0.009	0.403	0.438
XPO6	23214	16p11.2	0.003	0.157	0.011	0.000	-0.003	-0.002	0.046	0.000	0.065	-0.162	0.019	0.538	-0.026	-0.044	0.009	0.403	0.438
EIF3CL	728689	16p11.2	0.003	0.166	0.013	0.000	-0.003	-0.285	0.046	0.000	0.067	0.258	0.019	0.538	-0.038	-0.043	0.008	0.393	0.427
EIF3C	8663	16p11.2	0.003	0.166	0.013	0.000	-0.003	-0.285	0.046	0.000	0.067	0.258	0.019	0.538	-0.038	-0.043	0.008	0.393	0.427
SBK1	388228	16p11.2	0.003	0.157	0.011	0.000	-0.003	-0.154	0.046	0.000	0.065	0.146	0.019	0.538	-0.038	-0.044	0.009	0.403	0.438
CLN3	1201	16p11.2	0.003	0.157	0.011	0.000	-0.003	-0.015	0.046	0.000	0.065	-0.267	0.019	0.538	-0.038	-0.044	0.009	0.403	0.438
APOBR	55911	16p11.2	0.003	0.157	0.011	0.000	-0.003	-0.015	0.046	0.000	0.065	-0.298	0.019	0.538	-0.038	-0.044	0.009	0.403	0.438
IL27	246778	16p11.2	0.003	0.236	0.011	0.000	-0.003	-0.015	0.046	0.000	0.065	-0.266	0.019	0.538	-0.038	-0.044	0.009	0.403	0.438
NUPR1	26471	16p11.2	0.003	0.334	0.031	0.000	-0.003	-0.012	0.046	0.000	0.082	-0.070	0.019	0.538	-0.038	-0.035	0.006	0.324	0.348
ALDOA	226	16p11.2	0.003	0.334	0.060	0.000	-0.003	-0.007	0.046	0.000	0.108	-0.013	0.019	0.538	-0.038	-0.020	0.003	0.207	0.214
